Фамилия	Имя	Отчество	Пол	Возраст	Занятость	Дата первого заказа	Город	Частота пользования услугами	Эмоциональность	Удовлетворенность	Способы оплаты	Действующий клиент
Антонов	Михаил	Петрович	м	29	работает	05.08.2009	Пермь	низкая	низкая	средняя	наличные	Нет
Лазарева	Светлана	Михайловна	ж	22	учится	03.02.2010	Березники	низкая	высокая	высокая	наличные	Да
Никитина	Екатерина	Сергеевна	ж	29	работает	09.08.2011	Нытвы	низкая	высокая	средняя	перевод	Нет
Шабалина	Виктория	Ивановна	ж	24	без работы	09.11.2011	Пермь	низкая	высокая	низкая	карта	Нет
Базанов	Артем	Валерьевич	м	26	без работы	16.12.2006	Пермь	низкая	низкая	низкая	перевод	Нет
Ивонина	Надежда	Григорьевна	ж	32	домохозяйка	16.04.2007	Пермь	низкая	средняя	средняя	карта	Нет
Репина	Алена	Олеговна	ж	48	домохозяйка	18.04.2009	Пермь	низкая	средняя	высокая	наличные	Нет
Киселева	Диана	Анатольевна	ж	66	на пенсии	14.05.2009	Добрянка	низкая	высокая	высокая	карта	Нет
Лукин	Виктор	Алексеевич	м	80	на пенсии	23.06.2006	Пермь	низкая	высокая	средняя	перевод	Нет
Нежданова	Владислава	Сергеевна	ж	44	работает	09.08.2012	Пермь	низкая	низкая	высокая	карта	Нет
Бабаев	Владимир	Владиславович	м	50	работает	07.09.2008	Пермь	низкая	средняя	средняя	перевод	Нет
Измайлов	Петр	Викторович	м	24	учится	08.06.2009	Пермь	низкая	низкая	низкая	карта	Нет
Минин	Антон	Дмитриевич	м	52	работает	04.05.2011	Пермь	низкая	высокая	высокая	наличные	Нет
Халявина	Екатерина	Артуровна	ж	24	без работы	06.08.2006	Пермь	низкая	низкая	низкая	наличные	Нет
Тарасова	Дарья	Алексеевна	ж	22	без работы	15.10.2010	Пермь	низкая	высокая	высокая	перевод	Нет
Уколова	Ульяна	Леонидовна	ж	48	домохозяйка	15.12.2005	Пермь	низкая	высокая	высокая	перевод	Нет
Уваров	Евгений	Иванович	м	72	на пенсии	11.11.2007	Пермь	низкая	средняя	низкая	карта	Нет
Брежнев	Алексей	Владимирович	м	74	на пенсии	14.10.2010	Нытвы	низкая	низкая	высокая	наличные	Да
Гаврилов	Ян	Александрович	м	58	на пенсии	23.06.2006	Пермь	низкая	высокая	высокая	перевод	Да
Обросова	Валерия	Андреевна	ж	21	учится	01.01.2010	Пермь	высокая	средняя	средняя	карта	Да
Краснова	Оксана	Вячеславовна	ж	49	работает	07.09.2010	Пермь	высокая	низкая	высокая	наличные	Да
Силоров	Антон	Юрьевич	м	21	учится	25.02.2009	Нытвы	высокая	средняя	низкая	перевод	Да
Ливанов	Юрий	Викторович	м	44	работает	05.07.2008	Пермь	высокая	средняя	высокая	наличные	Да
Круглыхин	Никита	Михайлович	м	20	без работы	30.04.2007	Пермь	высокая	средняя	низкая	наличные	Да
